text,label
Your OTP is 834221. Do not share.,0
Transaction of INR 2450 successful.,0
Salary credited INR 45000.,0
UPI payment to Swiggy completed.,0
Amazon order shipped.,0
Electricity bill generated.,0
Recharge successful.,0
Card ending 4421 used for INR 560.,0
Refund processed.,0
Statement generated.,0
IRCTC ticket booked.,0
Gas booking confirmed.,0
Flipkart order delivered.,0
Balance is INR 5234.,0
EMI deducted successfully.,0
Your OTP is 123991. Do not share.,0
Transaction of INR 1200 successful.,0
Salary credited INR 38000.,0
UPI payment completed.,0
Amazon delivery tomorrow.,0
Power bill paid.,0
Mobile recharge successful.,0
Card ending 8891 used.,0
Refund of INR 540 processed.,0
Monthly statement ready.,0
Train ticket confirmed.,0
Cylinder booking confirmed.,0
Flipkart refund issued.,0
Balance updated.,0
Loan EMI paid.,0
Payment successful.,0
Netflix subscription renewed.,0
Spotify payment completed.,0
Courier delivered.,0
Package arriving today.,0
Invoice generated.,0
Your order is packed.,0
Payment received.,0
Taxi trip completed.,0
Food order delivered.,0
Balance credited.,0
Insurance premium paid.,0
Electricity bill paid.,0
Water bill paid.,0
Broadband recharge done.,0
Fastag recharge successful.,0
Metro card topped up.,0
Hotel booking confirmed.,0
Flight ticket issued.,0
Amazon refund initiated.,0
Flipkart replacement shipped.,0
Salary credited.,0
Statement emailed.,0
Payment confirmation.,0
Card activated.,0
UPI autopay executed.,0
Your account may face issues.,1
Unusual activity detected.,1
Please verify transaction.,1
Account review pending.,1
Security alert from bank.,1
Contact customer care.,1
Action required.,1
System detected anomaly.,1
Profile needs update.,1
Temporary restriction possible.,1
Your card might get blocked.,1
Bank calling regarding account.,1
We noticed login attempt.,1
Account under verification.,1
Service interruption possible.,1
Please respond urgently.,1
Confirm recent activity.,1
Your account needs review.,1
Identity verification required.,1
Transaction pending.,1
Suspicious login detected.,1
Support will contact you.,1
Account check in progress.,1
Please confirm details.,1
System alert.,1
Your profile incomplete.,1
KYC update required.,1
Payment pending.,1
Verification needed.,1
Account access limited.,1
Please cooperate.,1
Contact bank branch.,1
Unexpected sign in.,1
Security team reviewing.,1
Temporary hold placed.,1
Bank monitoring activity.,1
Account validation needed.,1
We detected issue.,1
Your service may stop.,1
Confirm account info.,1
Action needed.,1
Login anomaly.,1
Please acknowledge.,1
Verification process started.,1
Account flagged.,1
Transaction on hold.,1
Review in progress.,1
Security check.,1
Profile validation.,1
Bank system alert.,1
We are checking.,1
Confirm identity.,1
Your bank account will be blocked today.,2
Send OTP immediately.,2
Click here http://verify-now.xyz,2
Share UPI ID now.,2
Pay INR 1500 to unlock account.,2
Your PAN is suspended.,2
Transfer money urgently.,2
Provide debit card details.,2
Refund requires payment.,2
Account frozen unless paid.,2
Send money to scammer@upi,2
Verify KYC here http://verify-now.xyz,2
Give CVV number.,2
Pay penalty to reactivate.,2
WhatsApp support agent asking payment.,2
We are RBI department.,2
Your Aadhaar blocked.,2
Pay verification charge.,2
Click link to avoid suspension.,2
Your card blocked pay now.,2
Send OTP to verify.,2
Account compromised send OTP.,2
Free gift waiting click now.,2
Lottery won pay fee.,2
Provide netbanking login.,2
Urgent refund processing requires payment.,2
Your UPI blocked verify now.,2
Send PIN immediately.,2
Transfer INR 3000 to unlock.,2
Bank officer requesting credentials.,2
Confirm card details.,2
Pay security fee.,2
KYC expired click link.,2
Immediate payment required.,2
Account freeze unless paid today.,2
Send money fast.,2
Share ATM PIN.,2
Click phishing site.,2
Refund blocked pay charge.,2
Pay to restore service.,2
Provide account number.,2
Your profile suspended.,2
Verify immediately or lose access.,2
Payment redirection required.,2
Send UPI to proceed.,2
Give OTP quickly.,2
Pay fine to activate.,2
Account locked send payment.,2
Security fee pending.,2
Send card details.,2
Urgent transfer needed.,2
Click malicious link.,2
Pay to recover account.,2
Submit credentials.,2
Your card suspended.,2
Immediate action pay now.,2
Send verification amount.,2
Account disabled pay now.,2
Share login password.,2
Transfer to this UPI fast@upi,2
Click here to reactivate.,2
Penalty unpaid pay now.,2
Account closure warning.,2
Provide Aadhaar details.,2
Send money to continue.,2
Your bank flagged pay.,2
Give expiry date.,2
Pay to unblock UPI.,2
Security deposit needed.,2
Final notice pay now.,2
